班级,考生编号,人数,考场,備註
J3A,01~27,27,D101,預考
J3A,28~53,26,C101,預考
J3B,01~28,26,D102,預考
J3B,29~54,26,C102,預考
J3C,01~26,26,D103,預考
J3C,27~53,26,C304,預考
J3D,01~19,19,D104,預考
J3D,20~37,18,D407,預考
J3D,38~55,18,C303,預考
J3E,01~22,22,B002,預考
J3E,23~50,28,D206,預考
J3F,01~27,27,D305,預考
J3F,28~51,24,C104,預考
J3G,01~27,27,D107,預考
J3G,28~51,24,B001,預考
J3H,01~25,25,D205,預考
J3H,26~50,25,C301,預考
J3I,01~24,24,D105,預考
J3I,25~47,23,C103,預考
J3J,01~25,25,D207,預考
J3J,26~50,25,C201,預考
S2C1,01~27,27,D401,預考
S2C1,42~56,14,D101,預考
S2C1,28~41,14,C304,預考
S2C2,01~27,27,D402,預考
S2C2,28~41,14,D102,預考
S2C2,42~55,14,D103,預考
S2C3,01~28,28,D403,預考
S2C3,29~42,13,D104,預考
S2C3,43~56,14,C101,預考
S2C4,01~24,24,D404,預考
S2C4,25~42,18,D107,預考
S2C5,01~24,24,D405,預考
S2C5,25~40,16,D205,預考
S2C6,01~24,24,D406,預考
S2C6,25~35,11,D105,預考
S2C7,01~24,24,A003A,預考
S2C7,25~39,15,D305,預考
S2C7,40~54,15,D206,預考
S2C8,01~26,26,D307,預考
S2C8,27~40,14,D207,預考
S2C8,41~54,14,C102,預考
S2S1,01~28,26,D407,預考
S2S1,29~52,24,C303,預考
S2S2,01~24,23,B001,預考
S2S2,25~50,26,B002,預考
S2S3,01~17,17,C201,預考
S2S3,18~34,16,C103,預考
S2S4,01~17,17,C301,預考
S2S4,18~34,16,C104,預考
S3S1,01~28,27,C302,預考
S3S1,29~54,26,伯才堂 C,預考
S3S2,01~53,53,伯才堂 A,預考
S3S3,01~41,39,伯才堂 B,預考
S3C1,01~54,51,完美堂 A,預考
S3C2,01~54,50,完美堂 B,預考
S3C3,01~52,51,完美堂 C,預考
S3C4,01~55,55,完美堂 D,預考
S3C5,01~53,52,完美堂 E,預考
J1A,01~19,19,B201,期末考
J2J,20~37,18,B201,期末考
J2J,01~19,19,B206,期末考
J1A,20~39,19,B206,期末考
S1S2,35~51,17,C201,期末考
J1A,40~58,18,C201,期末考
J1B,01~21,19,B202,期末考
J2H,30~55,26,B202,期末考
J2H,01~29,26,B305,期末考
J1B,22~40,19,B305,期末考
S1S3,20~38,19,C301,期末考
J1B,41~59,18,C301,期末考
J1C,01~21,19,B203,期末考
J2G,29~55,26,B203,期末考
J2G,01~28,27,B201,期末考
J1C,22~40,19,B301,期末考
S1S4,20~37,18,C302,期末考
J1C,41~60,18,C302,期末考
J1D,01~20,19,B204,期末考
J2C,21~38,18,B204,期末考
J2C,01~20,18,B403,期末考
J1D,21~43,19,B403,期末考
S1S3,01~19,19,D203,期末考
J1D,44~63,18,D203,期末考
J1E,01~20,19,B101,期末考
J2I,20~37,18,B101,期末考
J2D,37~55,18,C303,期末考
J1E,21~38,18,C303,期末考
J2I,01~19,19,B205,期末考
J1E,39~57,18,B205,期末考
J1F,01~29,28,B102,期末考
J2E,20~38,19,B102,期末考
J2E,01~19,19,B405,期末考
J1F,30~58,27,B405,期末考
J1G,01~29,28,B103,期末考
J2F,20~38,19,B103,期末考
J1G,20~38,19,B103,期末考
J2F,01~19,19,B406,期末考
