日期,时间,年纪,科目,时长
9/27/2024,8:00,S2S,Add Math 1,120
9/27/2024,8:00,S2C,Add Math 1,120
9/27/2024,8:00,S3S,华文（1）,105
9/27/2024,8:00,S3C,华文（1）,105
9/27/2024,10:15,S3S,华文（2）,105
9/27/2024,10:15,S3C,华文（2）,105
9/27/2024,10:30,S2S,Add Math 2,150
9/27/2024,10:30,S2C,Add Math 2,150
9/27/2024,12:50,S3S,经济学（1）,45
9/27/2024,12:50,S3C,经济学（1）,45
9/27/2024,13:30,S2S,SPM 理科实验考（PHYSICS）,120
9/27/2024,13:55,S3S,经济学（2）,120
9/27/2024,13:55,S3C,经济学（2）,120
9/28/2024,7:45,S2S,PSV 2,180
9/28/2024,7:45,S2C,PSV 2,180
9/28/2024,7:45,S3S,美术静物素描,150
9/28/2024,7:45,S3C,美术静物素描,150
9/28/2024,10:25,S3S,美术水彩画/水墨画,150
9/28/2024,10:25,S3C,美术水彩画/水墨画,150
9/28/2024,11:30,S2S,PSV 1,60
9/28/2024,11:30,S2C,PSV 1,60
9/30/2024,8:00,J3,华文（2）,90
9/30/2024,8:00,S2S,Chemistry 1,75
9/30/2024,8:00,S3S,高数II（1）,60
9/30/2024,8:00,S3C,数学（1）,60
9/30/2024,10:00,J3,华文（1）,105
9/30/2024,10:00,S2S,Chemistry 2,150
9/30/2024,10:00,S2C,中国文学,150
9/30/2024,10:00,S3S,高数II（2）,120
9/30/2024,10:00,S3C,数学（2）,120
9/30/2024,12:30,S3S,生物（1）,50
9/30/2024,12:30,S3C,商业（1）,40
9/30/2024,12:45,J3,地理（1）,60
9/30/2024,13:45,S2S,SPM 理科实验考（CHEMISTRY）,120
9/30/2024,13:45,S3S,生物（2）,120
9/30/2024,13:45,S3C,商业学（2),120
9/30/2024,14:15,J3,地理（2）,80
10/1/2024,8:00,J3,BM（1）,105
10/1/2024,8:00,S2S,Physics 2,150
10/1/2024,8:00,S3S,历史（2）,130
10/1/2024,8:00,S3C,历史（2）,130
10/1/2024,10:40,J3,BM（2）,75
10/1/2024,10:40,S3S,历史（1）,40
10/1/2024,10:40,S3C,历史（1）,40
10/1/2024,11:50,S3S,Bahasa Malaysia（1）,110
10/1/2024,11:50,S3C,Bahasa Malaysia（1）,110
10/1/2024,12:45,J3,历史（2）乙部,70
10/1/2024,12:45,S2S,Physics 1,75
